,,test_accuracy,transfer_accuracy
DataSet 1 (146671 records),naive_bayes,0.5437810639995091,0.4
DataSet 1 (146671 records),random_forrest,0.7345523716021354,0.45066666666666666
DataSet 1 (146671 records),logistic_regression,0.9440387801435847,0.48
DataSet 1 (146671 records),bagging,0.9034791679450206,0.4613333333333333
DataSet 1 (146671 records),maxent,0.5234092164202,0.4186666666666667
DataSet 1 (146671 records),sgd,0.9371663496349021,0.472
DataSet 1 (146671 records),simple_neural_network_results,0.7537583708763123,0.36000001430511475
DataSet 1 (146671 records),lstm_results,0.8759894459102903,0.44266666666666665
DataSet 1 (146671 records),cnn_results,0.8786279683377308,0.44266666666666665
DataSet 1 (146671 records),voting,,0.48
DataSet 1 (146671 records),weighted_voting,,0.48
DataSet 2 (24732 records),naive_bayes,0.6117176128093159,0.448
DataSet 2 (24732 records),random_forrest,0.5946142649199417,0.44533333333333336
DataSet 2 (24732 records),logistic_regression,0.6812227074235808,0.48533333333333334
DataSet 2 (24732 records),bagging,0.6149927219796215,0.496
DataSet 2 (24732 records),maxent,0.613901018922853,0.4826666666666667
DataSet 2 (24732 records),sgd,0.6819505094614265,0.496
DataSet 2 (24732 records),simple_neural_network_results,0.6299126744270325,0.36533331871032715
DataSet 2 (24732 records),lstm_results,0.7012372634643377,0.552
DataSet 2 (24732 records),cnn_results,0.7176128093158661,0.5093333333333333
DataSet 2 (24732 records),voting,,0.5413333333333333
DataSet 2 (24732 records),weighted_voting,,0.5386666666666666
DataSet 3 (5727 records),naive_bayes,0.5102040816326531,0.3413333333333333
DataSet 3 (5727 records),random_forrest,0.6671899529042387,0.30666666666666664
DataSet 3 (5727 records),logistic_regression,0.695447409733124,0.2906666666666667
DataSet 3 (5727 records),bagging,0.6436420722135008,0.32266666666666666
DataSet 3 (5727 records),maxent,0.6813186813186813,0.3253333333333333
DataSet 3 (5727 records),sgd,0.6671899529042387,0.30133333333333334
DataSet 3 (5727 records),simple_neural_network_results,0.6405023336410522,0.36800000071525574
DataSet 3 (5727 records),lstm_results,0.6671899529042387,0.312
DataSet 3 (5727 records),cnn_results,0.6938775510204082,0.2986666666666667
DataSet 3 (5727 records),voting,,0.3466666666666667
DataSet 3 (5727 records),weighted_voting,,0.34933333333333333
DataSet 4 (2904 records),naive_bayes,0.32507739938080493,0.37866666666666665
DataSet 4 (2904 records),random_forrest,0.47678018575851394,0.42933333333333334
DataSet 4 (2904 records),logistic_regression,0.43034055727554177,0.38666666666666666
DataSet 4 (2904 records),bagging,0.42724458204334365,0.4053333333333333
DataSet 4 (2904 records),maxent,0.5325077399380805,0.4106666666666667
DataSet 4 (2904 records),sgd,0.38390092879256965,0.3546666666666667
DataSet 4 (2904 records),simple_neural_network_results,0.3900928795337677,0.36800000071525574
DataSet 4 (2904 records),lstm_results,0.5325077399380805,0.4266666666666667
DataSet 4 (2904 records),cnn_results,0.5325077399380805,0.4266666666666667
DataSet 4 (2904 records),voting,,0.4266666666666667
DataSet 4 (2904 records),weighted_voting,,0.4266666666666667
DataSet 5 (24730 records),naive_bayes,0.6000727802037845,0.43733333333333335
DataSet 5 (24730 records),random_forrest,0.5844250363901019,0.4746666666666667
DataSet 5 (24730 records),logistic_regression,0.6721251819505094,0.488
DataSet 5 (24730 records),bagging,0.6171761280931587,0.4746666666666667
DataSet 5 (24730 records),maxent,0.6171761280931587,0.4666666666666667
DataSet 5 (24730 records),sgd,0.6735807860262009,0.5173333333333333
