,,test_accuracy,transfer_accuracy
DataSet 1 (146671 records),naive_bayes,0.5484444989875438,0.4175
DataSet 1 (146671 records),random_forrest,0.7310547953611094,0.33
DataSet 1 (146671 records),logistic_regression,0.945450082837332,0.3975
DataSet 1 (146671 records),bagging,0.9082653249064245,0.3875
DataSet 1 (146671 records),maxent,0.5236546603669388,0.43
DataSet 1 (146671 records),sgd,0.9384549303552802,0.39
DataSet 1 (146671 records),simple_neural_network_results,0.7456586956977844,0.3799999952316284
DataSet 1 (146671 records),lstm_results,0.8743940602564889,0.375
DataSet 1 (146671 records),cnn_results,0.8785666073510462,0.38
DataSet 1 (146671 records),voting,,0.4275
DataSet 1 (146671 records),weighted_voting,,0.4275
DataSet 2 (178 records),naive_bayes,0.5,0.38
DataSet 2 (178 records),random_forrest,0.6,0.3075
DataSet 2 (178 records),logistic_regression,0.5,0.34
DataSet 2 (178 records),bagging,0.55,0.3325
DataSet 2 (178 records),maxent,0.45,0.37
DataSet 2 (178 records),sgd,0.45,0.3475
DataSet 2 (178 records),simple_neural_network_results,0.4000000059604645,0.26750001311302185
DataSet 2 (178 records),lstm_results,0.3,0.31
DataSet 2 (178 records),cnn_results,0.5,0.27
DataSet 2 (178 records),voting,,0.3775
DataSet 2 (178 records),weighted_voting,,0.375
DataSet 3 (5727 records),naive_bayes,0.46938775510204084,0.41
DataSet 3 (5727 records),random_forrest,0.6248037676609105,0.3175
DataSet 3 (5727 records),logistic_regression,0.6656200941915228,0.325
DataSet 3 (5727 records),bagging,0.6075353218210361,0.34
DataSet 3 (5727 records),maxent,0.6530612244897959,0.335
DataSet 3 (5727 records),sgd,0.6624803767660911,0.3425
DataSet 3 (5727 records),simple_neural_network_results,0.6546310782432556,0.3474999964237213
DataSet 3 (5727 records),lstm_results,0.6295133437990581,0.33
DataSet 3 (5727 records),cnn_results,0.673469387755102,0.2975
DataSet 3 (5727 records),voting,,0.39
DataSet 3 (5727 records),weighted_voting,,0.39
DataSet 4 (2904 records),naive_bayes,0.3560371517027864,0.2775
DataSet 4 (2904 records),random_forrest,0.43343653250773995,0.2725
DataSet 4 (2904 records),logistic_regression,0.4458204334365325,0.27
DataSet 4 (2904 records),bagging,0.44891640866873067,0.2825
DataSet 4 (2904 records),maxent,0.5263157894736842,0.28
DataSet 4 (2904 records),sgd,0.3931888544891641,0.285
DataSet 4 (2904 records),simple_neural_network_results,0.45201238989830017,0.3100000023841858
DataSet 4 (2904 records),lstm_results,0.5263157894736842,0.265
DataSet 4 (2904 records),cnn_results,0.5263157894736842,0.265
DataSet 4 (2904 records),voting,,0.27
DataSet 4 (2904 records),weighted_voting,,0.2575
DataSet 5 (24730 records),naive_bayes,0.6008005822416302,0.445
DataSet 5 (24730 records),random_forrest,0.5673216885007278,0.4075
DataSet 5 (24730 records),logistic_regression,0.6943231441048034,0.425
DataSet 5 (24730 records),bagging,0.6317321688500728,0.4125
DataSet 5 (24730 records),maxent,0.62627365356623,0.44
DataSet 5 (24730 records),sgd,0.6950509461426492,0.4325
DataSet 5 (24730 records),simple_neural_network_results,0.6593886613845825,0.35749998688697815
DataSet 5 (24730 records),lstm_results,0.7147016011644832,0.4275
DataSet 5 (24730 records),cnn_results,0.7139737991266376,0.4475
DataSet 5 (24730 records),voting,,0.4675
DataSet 5 (24730 records),weighted_voting,,0.4625
DataSet 6 (128781 records),naive_bayes,0.8573025856044724,0.4175
DataSet 6 (128781 records),random_forrest,0.9494060097833683,0.425
DataSet 6 (128781 records),logistic_regression,0.8997204751921734,0.405
DataSet 6 (128781 records),bagging,0.9303983228511531,0.425
DataSet 6 (128781 records),maxent,0.8332634521313766,0.4325
DataSet 6 (128781 records),sgd,0.836617749825297,0.43
DataSet 6 (128781 records),simple_neural_network_results,0.8500349521636963,0.29249998927116394
DataSet 6 (128781 records),lstm_results,0.6923130677847659,0.445
DataSet 6 (128781 records),cnn_results,0.7412299091544374,0.4375
DataSet 6 (128781 records),voting,,0.4425
DataSet 6 (128781 records),weighted_voting,,0.44
DataSet 7 (24990 records),naive_bayes,0.6118113071660065,0.4625
DataSet 7 (24990 records),random_forrest,0.602448685631977,0.355
DataSet 7 (24990 records),logistic_regression,0.6838314728123874,0.4175
DataSet 7 (24990 records),bagging,0.6384587684551675,0.3925
DataSet 7 (24990 records),maxent,0.6319769535469931,0.435
DataSet 7 (24990 records),sgd,0.6867122794382428,0.4125
DataSet 7 (24990 records),simple_neural_network_results,0.6409794688224792,0.3149999976158142
DataSet 7 (24990 records),lstm_results,0.7090385307886208,0.4325
DataSet 7 (24990 records),cnn_results,0.7407274036730285,0.42
DataSet 7 (24990 records),voting,,0.4625
DataSet 7 (24990 records),weighted_voting,,0.46
DataSet 8 (24736 records),naive_bayes,0.6187704619861768,0.4525
DataSet 8 (24736 records),random_forrest,0.5998544925427428,0.41
DataSet 8 (24736 records),logistic_regression,0.6842488177519098,0.4375
DataSet 8 (24736 records),bagging,0.6282284467078938,0.395
DataSet 8 (24736 records),maxent,0.6384139687158967,0.4375
DataSet 8 (24736 records),sgd,0.6853401236813387,0.44
DataSet 8 (24736 records),simple_neural_network_results,0.6380501985549927,0.32499998807907104
DataSet 8 (24736 records),lstm_results,0.7151691524190614,0.4475
DataSet 8 (24736 records),cnn_results,0.7351764277919244,0.44
DataSet 8 (24736 records),voting,,0.46
DataSet 8 (24736 records),weighted_voting,,0.46
DataSet 9 (25590 records),naive_bayes,0.8136427566807314,0.3525
DataSet 9 (25590 records),random_forrest,0.9613220815752461,0.3225
DataSet 9 (25590 records),logistic_regression,0.9623769338959213,0.3
DataSet 9 (25590 records),bagging,0.9778481012658228,0.325
DataSet 9 (25590 records),maxent,0.7137834036568214,0.38
DataSet 9 (25590 records),sgd,0.9658931082981715,0.3075
DataSet 9 (25590 records),simple_neural_network_results,0.9289732575416565,0.2574999928474426
DataSet 9 (25590 records),lstm_results,0.9286216596343179,0.29
DataSet 9 (25590 records),cnn_results,0.9374120956399438,0.29
DataSet 9 (25590 records),voting,,0.3575
DataSet 9 (25590 records),weighted_voting,,0.35
