,,,Unnamed: 1,test_accuracy,transfer_accuracy
DataSet 1 (146671 records),bagging,3,bagging,90.35,46.13
DataSet 1 (146671 records),cnn_results,8,cnn_results,87.86,44.27
DataSet 1 (146671 records),logistic_regression,2,logistic_regression,94.4,48.0
DataSet 1 (146671 records),lstm_results,7,lstm_results,87.6,44.27
DataSet 1 (146671 records),maxent,4,maxent,52.34,41.87
DataSet 1 (146671 records),naive_bayes,0,naive_bayes,54.38,40.0
DataSet 1 (146671 records),random_forrest,1,random_forrest,73.46,45.07
DataSet 1 (146671 records),sgd,5,sgd,93.72,47.2
DataSet 1 (146671 records),simple_neural_network_results,6,simple_neural_network_results,75.38,36.0
DataSet 1 (146671 records),voting,9,voting,,48.0
DataSet 1 (146671 records),weighted_voting,10,weighted_voting,,48.0
DataSet 2 (24732 records),bagging,14,bagging,61.5,49.6
DataSet 2 (24732 records),cnn_results,19,cnn_results,71.76,50.93
DataSet 2 (24732 records),logistic_regression,13,logistic_regression,68.12,48.53
DataSet 2 (24732 records),lstm_results,18,lstm_results,70.12,55.2
DataSet 2 (24732 records),maxent,15,maxent,61.39,48.27
DataSet 2 (24732 records),naive_bayes,11,naive_bayes,61.17,44.8
DataSet 2 (24732 records),random_forrest,12,random_forrest,59.46,44.53
DataSet 2 (24732 records),sgd,16,sgd,68.2,49.6
DataSet 2 (24732 records),simple_neural_network_results,17,simple_neural_network_results,62.99,36.53
DataSet 2 (24732 records),voting,20,voting,,54.13
DataSet 2 (24732 records),weighted_voting,21,weighted_voting,,53.87
DataSet 3 (5727 records),bagging,25,bagging,64.36,32.27
DataSet 3 (5727 records),cnn_results,30,cnn_results,69.39,29.87
DataSet 3 (5727 records),logistic_regression,24,logistic_regression,69.54,29.07
DataSet 3 (5727 records),lstm_results,29,lstm_results,66.72,31.2
DataSet 3 (5727 records),maxent,26,maxent,68.13,32.53
DataSet 3 (5727 records),naive_bayes,22,naive_bayes,51.02,34.13
