Unnamed: 1,min_test_accuracy,min_transfer_accuracy,avg_test_accuracy,avg_transfer_accuracy,max_test_accuracy,max_transfer_accuracy
bagging,42.72,32.27,70.90777777777778,45.184444444444445,97.57,49.6
cnn_results,53.25,29.87,74.27777777777777,47.61555555555556,93.78,57.07
logistic_regression,43.03,29.07,73.5988888888889,45.18555555555555,96.31,50.13
lstm_results,53.25,31.2,72.45333333333333,49.156666666666666,93.21,57.07
maxent,52.34,32.53,62.29777777777778,43.17111111111112,82.49,48.27
naive_bayes,32.51,34.13,60.74222222222223,41.56888888888889,84.91,46.93
random_forrest,47.68,30.67,68.21222222222222,43.971111111111114,95.5,50.4
sgd,38.39,30.13,72.16666666666667,45.95555555555555,96.8,52.27
simple_neural_network_results,39.01,32.8,67.78888888888889,36.858888888888885,92.72,47.2
voting,,34.67,,49.83777777777778,,57.6
weighted_voting,,34.93,,49.92666666666667,,57.07
