,last_name,team_name,role,first_name,occurrence_count
0,Ramos,Real Madrid,Goalkeeper,Moha,4968
1,Salah,Liverpool FC,Forward,Mo,3776
2,Ronaldo,Real Madrid,Forward,Cristiano,1541
3,Bale,Real Madrid,Forward,Gareth,736
4,Karius,Liverpool FC,Goalkeeper,Loris,409
5,Klopp,Liverpool FC,Manager,Jurgen,341
6,Carvajal,Real Madrid,Defender,Dani,299
7,Navas,Real Madrid,Goalkeeper,Keylor,218
8,Robertson,Liverpool FC,Defender,Andrew,147
9,Benzema,Real Madrid,Forward,Karim,135
10,Milner,Liverpool FC,Midfielder,James,93
11,Henderson,Liverpool FC,Midfielder,Jordan,53
12,Asensio,Real Madrid,Forward,Marco,45
13,Lallana,Liverpool FC,Midfielder,Adam,36
14,Firmino,Liverpool FC,Forward,Roberto,35
15,Mane,Liverpool FC,Forward,Sadio,35
16,Kroos,Real Madrid,Midfielder,Toni,29
17,Alexander-Arnold,Liverpool FC,Defender,Trent,23
18,Lovren,Liverpool FC,Defender,Dejan,20
19,Modric,Real Madrid,Midfielder,Luka,15
20,Mignolet,Liverpool FC,Goalkeeper,Simon,13
21,Zidane,Real Madrid,Goalkeeper,Luca,10
22,Varane,Real Madrid,Defender,Raphael,8
23,Moreno,Liverpool FC,Defender,Alberto,7
24,Isco,Real Madrid,Midfielder,,4
25,Solanke,Liverpool FC,Forward,Dominic,4
26,Wijnaldum,Liverpool FC,Midfielder,Georginio,3
27,Woodburn,Liverpool FC,Forward,Ben,3
28,Bogdan,Liverpool FC,Goalkeeper,adam,3
29,Klavan,Liverpool FC,Defender,Ragnar,2
