,tweet,created_at,original_tweet,topic_value,topic
20474,It’s always Ramos. 🙄 #UCLFinal,2018-05-27 19:21:24,"RT @LFC: The Reds.

#UCLfinal https://t.co/fFITznl3RR",0.10491859979850884,6.0
15941,Ramos done succeed #UCLfinal,2018-05-27 19:16:03,Suas definições de coração saindo pela boca foram atualizadas com o chute do CR7. #UCLFINAL #ChampionsLeague #YNWA… https://t.co/bqWf6kDfXW,0.10491859979850884,6.0
15834,Ramos your swine #UCLfinal,2018-05-27 19:15:57,イスコ今のうまかったな #UCLfinal,0.10491859979850884,6.0
15837,Thunder go fire you Ramos!!! #UCLfinal,2018-05-27 19:15:58,RT @dlipanews: Dua Lipa performing at the #UCLfinal https://t.co/UW84geKna6,0.10491859979850884,6.0
15866,Ramos is such an animal!!! !🐃 #UCLfinal,2018-05-27 19:15:59,"Real Madrid vs Liverpool

Full HD : https://t.co/yKxZ6HBrSN 

Full HD : https://t.co/5sjfX50ZjX

#UCLfinal… https://t.co/GEF8RbAlb6",0.10491859979850884,6.0
53992,There gore Ramos again 🙄🙄 #UCLFinal,2018-05-27 20:28:39,Check it out! mdkawsaralam123 will do wordpress website speed up to 80 and ... for $5 on #Fiverr… https://t.co/Tk8q9RNiSi,0.10491859979850884,6.0
30663,I am bringing out my two eggs and one schnapps for Ramos. Thunder fire your thighs. #UCLfinal,2018-05-27 19:45:07,Incluso para el Real Madrid sería mejor ganar con él en el campo si ese fuera el escenario. #UCLFinal,0.10491859979850884,6.0
47725,Ramos is such a freak walai bilai #UCLFinal,2018-05-27 20:13:40,HT: Real Madrid 0-0 Liverpool. #HalaMadrid #UCLFinal,0.10491859979850884,6.0
30661,Ramos is brutal monster and Zombie,2018-05-27 19:45:07,All these people getting cocky after Salah’s injury are beyond pathetic. A game is encouraging violence! What a time to be alive. #UCLfinal,0.10491859979850884,6.0
30576,Ramos what you just did 😯 #UCLfinal #LiverpoolVsRealMadrid,2018-05-27 19:44:53,Trying to spot Cristiano Ronaldo here like! #UCLfinal https://t.co/Lc6cujf3nN,0.10491859979850884,6.0
30490,Motherfucking Ramos 😭😭😭😭,2018-05-27 19:44:39,Liverpool got to get to HT now and regroup #LFC #UCLfinal #LiverpoolVsRealMadrid #RMALIV,0.10491859979850884,6.0
15221,Clever by Ramos #UCLfinal,2018-05-27 19:15:16,"#UCLfinal für mich ist #Liverpool eh jetzt schon der Sieger 
Die sind ohne Hilfe ins Finale gekommen 
#RealMadrid",0.10491859979850884,6.0
30450,Should've been ramos,2018-05-27 19:44:31,"RT @FOXSoccer: Terrible news for Liverpool, and really, all football fans. Mo Salah can't continue and leaves the field in tears. #UCLfinal…",0.10491859979850884,6.0
59342,Ramos though #UCLfinal,2018-05-27 20:36:14,Why you shaming us 😭😭 https://t.co/h7rS0o8Y3L,0.10491859979850884,6.0
16003,Ramos is WWW belt holder. No qualms about that. #UCLFinal #APORLA13 #UCL,2018-05-27 19:16:07,"15' Ronaldo avisa, pero sale sobre el travesaño.
#RM 0 - 0 #LIV
#FinalChampionsEnLaHoy
#UCLFinal",0.10491859979850884,6.0
