,tweet,created_at,original_tweet,topic_value,topic
0,Still hurts. #YNYA.,2020-03-01 03:49:17,Still hurts. #YNYA.,,
2,Yeah I think they'll draw today.,2020-03-01 03:42:17,"@imnotgoku7 @LFC @Alissonbecker Yeah, I think they'll draw today.",,
3,Twerking for LiverpoolI see,2020-03-01 03:34:02,"@goal Twerking for Liverpool,I see",,
6,exacto,2020-03-01 03:48:48,@mbarcia24 @DayanPe35981188 @camilocondis @WesternUnion @LFC @John_W_Henry exacto,,
8,🥅⚽️#liverpool⚽️⚽️ ⚽️🥅 Check out the news!! Please share and RT!,2020-03-01 03:50:14,🥅⚽️#liverpool⚽️⚽️ @LFC ⚽️🥅 Check out the news!! Please share and RT! https://t.co/WlQc1InTY8,,
10,My Goodness 🤣😂🤣😂,2020-03-01 03:40:52,My Goodness 🤣😂🤣😂,,
13,I personally nominate this guy for the EPL hall of fame..... A legend already Liverpool Athletico Trent,2020-03-01 03:51:36,"I personally nominate this guy for the EPL hall of fame.....   A legend already,,, 

Liverpool,,  Athletico,, Trent",,
15,HAHAHA CHOKE FC,2020-03-01 03:53:34,@LFC HAHAHA CHOKE FC,,
18,So we are till you are camp in world,2020-03-01 03:38:18,So we are till you are camp in world,,
21,RB Leipzig troll Liverpool with brilliant message featuring Chelsea target Timo Werner,2020-03-01 03:54:20,RB Leipzig troll Liverpool with brilliant message featuring Chelsea target Timo Werner https://t.co/h8EPgF1321 https://t.co/6zXcmYm5lW,,
22,#EscortAgency Best Liverpool Escort has changed thier profile.,2020-03-01 03:43:58,#EscortAgency Best Liverpool Escort has changed thier profile. https://t.co/7qAggSGclV,,
25,No offence but me starting to live my dream life in a month would actually suck,2020-03-01 03:50:25,No offence but me starting to live my dream life in a month would actually suck,,
26,History made 😊,2020-03-01 03:32:51,@Macmill41206027 @LFC @premierleague @clementaustin7 @thejonathan01 @igniteivan History made 😊,,
32,Professional Digital Marketer What I offer: 👉 Website Creation 👉 Vid…,2020-03-01 03:52:34,"@ParkTheBus8989 @LFC Professional Digital Marketer

https://t.co/npUJ938n1f

What I offer:
👉 Website Creation
👉 Vid… https://t.co/rZXHpRwmMB",,
33,#NowPlaying Dr Hook - Sylvia s Mother #TuneIn #AmazonEcho #GreatestHits,2020-03-01 03:54:30,"#NowPlaying Dr Hook - Sylvia s Mother, #TuneIn #AmazonEcho #GreatestHits
https://t.co/dsB8tpEM8d",,
35,This is CoronAtleti,2020-03-01 03:40:40,@LFC This is CoronAtleti,,
39,Professional Digital Marketer What I offer: 👉 Website Creation 👉 Video ads 👉 Shopify…,2020-03-01 03:52:25,"@LFC Professional Digital Marketer

https://t.co/npUJ938n1f

What I offer:
👉 Website Creation
👉 Video ads
👉 Shopify… https://t.co/EmOXDgoJ1z",,
40,💥 ￼Get £10 💥 ➡️➡️ #money #business #banking #Earnings #wages #freemoney #cashback…,2020-03-01 03:46:52,"💥 ￼Get £10 💥 ➡️➡️ https://t.co/Ombh70nDOA
#money #business #banking #Earnings #wages #freemoney #cashback… https://t.co/TdoFec8Ar2",,
42,Oh nvm this is a joke hence why we are above Barcelona 😂😂😂,2020-03-01 03:39:39,Oh nvm this is a joke hence why we are above Barcelona 😂😂😂,,
43,There can only be one,2020-03-01 03:33:27,There can only be one,,
